GC_ID;Project-paragraaf;AANTAL;ARTIKEL_GC_ID;ARTIKEL_OMSCHRIJVING;ARTIKELKLASSE;GC_OMSCHRIJVING
201886;19PPR0115-002;4;7850936;CLIPFIX 35 PHO EINDSTEUN;Eindsteun rijgklem;V: Verdelers ABB
201886;19PPR0115-002;1;7363617;ABB E 204/125R AAN-UIT SCHAKELAAR;Inbouwschakelaar modulair;V: Verdelers ABB
201886;19PPR0115-002;1;7907081;ABB COMFORT INSTAL.KAST OPB 4X 24MOD;Installatiekast met DIN-rail leeg;V: Verdelers ABB
201886;19PPR0115-002;1;7524382;ABB ZA13 SCHEMATAS A4 2CPX038233R9999;Documenthouder voor kast/lessenaar;V: Verdelers ABB
201886;19PPR0115-002;1;7301028;OUNE AANSLUIT-/AFTAKKLEM 0047;Verbindingsrijgklem;V: Verdelers ABB
201886;19PPR0115-002;1;7907296;ABB COMPONENTEN COMFORTLINE CZF1;Invoerplaat voor op sparing kast/lessenaar;V: Verdelers ABB
201886;19PPR0115-002;1;7524390;ZA1P5 ABB AFDEKSTROOK 12-M. (SET 5);Afdekprofiel voor kast/lessenaar;V: Verdelers ABB
201886;19PPR0115-002;1;7100760;LEGRAND VERDEELKLEM 4P 125A - 11 AANSL;Aansluitklem voor hoofdkabel;V: Verdelers ABB
201886;19PPR0115-002;6;4080826;ABB SN201-LB16 INST.AUT. 1P+N 16A B-KAR;Installatieautomaat;V: Verdelers ABB
201886;19PPR0115-002;1;7892585;PHOE PT 10 BU AANSLUITKLEM BLAUW;Verbindingsrijgklem;V: Verdelers ABB
201886;19PPR0115-002;4;7508286;ABB SC203-C25NA INST.AUT. 3P+N 25A C-KAR;Installatieautomaat;V: Verdelers ABB
201886;19PPR0115-002;1;7508260;SC203 C16 NA ABB INST.AUTOM.CB 3P+N C 16A;Installatieautomaat;V: Verdelers ABB
201886;19PPR0115-002;1;7507239;0935.112 ABB AANSLUITRAIL 3-FASE 12 MOD;Kamrail;V: Verdelers ABB
201886;19PPR0115-002;8;KLEIN;Kleinmateriaal;;V: Verdelers ABB
201886;19PPR0115-002;12;7892785;PT 4 PHO 3211757 PT 4 VERB.RIJGKLE;Verbindingsrijgklem;V: Verdelers ABB
201886;19PPR0115-002;4;7892787;3211760 PHO 3211760 PT 4 BU VERB.RIJG;Verbindingsrijgklem;V: Verdelers ABB
201886;19PPR0115-002;3;7892584;PHOE PT 10 AANSLUITKLEM;Verbindingsrijgklem;V: Verdelers ABB
201886;19PPR0115-002;7;7855810;PT 2,5 BU PHO PT VEERDRUK-AANSLUITKLEM;Verbindingsrijgklem;V: Verdelers ABB
201886;19PPR0115-002;9;7855802;PT 2,5 PHO PT VEERDRUK-AANSLUITKLEM;Verbindingsrijgklem;V: Verdelers ABB
201886;19PPR0115-002;1;7318108;ABB S203-C40NA INST.AUTOM 3P+N 40A C-KAR;Installatieautomaat;V: Verdelers ABB
211287;19PPR2155-001;10;1239618;OUNE AANSLUIT-/AFTAKKLEM 0048;Verbindingsrijgklem;V: Verdelers Eaton
211287;19PPR2155-001;10;1239625;OUNE AANSLUIT-/AFTAKKLEM 0049;Verbindingsrijgklem;V: Verdelers Eaton
211287;19PPR2155-001;30;1239394;OUNE AANSLUIT-/AFTAKKLEM 0016;Verbindingsrijgklem;V: Verdelers Eaton
211751;19PPR2155-002;1;7522568;SN201 B16 ABB INST.AUT.1P+N 6-10KA B 16A;Installatieautomaat;V: Verdelers Eaton
211751;19PPR2155-002;2;7909821;ABB KWH-METER 1F DIR 40A C11 110-101;Elektriciteitsmeter;V: Verdelers Eaton
211751;19PPR2155-002;66;5SE2363;SIEM 5SE2363 NEOZED ZEKERING 63A;D0-zekering;V: Verdelers Eaton
211751;19PPR2155-002;22;7298152;Polysafe ip65 2 volle deur 1250x1000x320 PS833056 PS833056;Installatiekast leeg;V: Verdelers Eaton
211751;19PPR2155-002;22;7957472;HAGER ZAY50994 PROFIELHALFCILINDER TOEBEHORE;Binnenwerk slot voor kast/lessenaar;V: Verdelers Eaton
211751;19PPR2155-002;22;7348779;ABB 2CDE103101R1901 LASTSCHAKELAAR;Patroonlastscheider;V: Verdelers Eaton
211751;19PPR2155-002;22;7507239;0935.112 ABB AANSLUITRAIL 3-FASE 12 MOD;Kamrail;V: Verdelers Eaton
211751;19PPR2155-002;88;7920655;KF82A HAGER AANSL.KLEM 2X16MM2;Aansluitklem voor hoofdkabel;V: Verdelers Eaton
211751;19PPR2155-002;176;7909821;ABB KWH-METER 1F DIR 40A C11 110-101;Elektriciteitsmeter;V: Verdelers Eaton
